Date,Title,Text,Category,site
"September 27, 2023",InterContinental Energy Raises $115 Million to Develop Green Hydrogen Projects,"Large-scale clean energy project developer InterContinental Energy, announced today that it received $115 million, including a continued strategic equity investment from institutional investor GIC, and a new equity investment from Hy24.
InterContinental will use the investment to accelerate the deployment of its portfolio of green hydrogen projects. The company is developing projects, based in Australia and the Middle East, and located in coastal deserts that provide wind and solar resources enabling cost-competitive green fuels at scale.
Hydrogen is the most abundant chemical substance in the universe. It can be burned for fuel, producing no CO2, only water. Creating pure hydrogen, however, has historically required the burning of fossil fuels, and ultimately resulted in more waste than just using the fossil fuels for energy. Green hydrogen, however, is made from CO2-free renewable energy. The International Energy Agency expects demand for green hydrogen to ramp up from 2030. But first there must be massive investments in areas including renewable energy capacity, infrastructure, electrolysis, transport and storage. 
In the first phase of its projects, InterContinental aims to deliver up to 10 GW of total installed renewables capacity before the end of 2030 with an overall ambition of nearly 100 GW.
Alex Tancock, Chief Executive Officer and Chairman of the Board for InterContinental Energy, said:  
“InterContinental Energy values the continued commitment from GIC since becoming our strategic investor in April 2022, which strengthens our ability to deliver on our green hydrogen vision. Hy24, as a new strategic investor, brings unrivalled industrial and financial knowledge in the hydrogen space as well as its critical network of key players across the value chain, to help unlock new opportunities for InterContinental Energy and all our stakeholders.”  
The market for green hydrogen is forecasted to reach between 450 and 600 million tons per annum (MTPA) by 2050. InterContinental Energy’s portfolio of projects is projected to produce more than 5 MTPA of green hydrogen to help offset more than 50 MTPA of CO2.   
Hy24’s investment is being made from its Clean Hydrogen Infrastructure Fund. Hy24 announced last year that had  raised €2 billion for its hydrogen impact fund, Clean H2 Infra Fund, making it the world’s largest infrastructure fund to exclusively invest in the clean hydrogen value chain.
Pierre-Etienne Franc, Chief Executive Officer of Hy24, said: 
“We launched Hy24 to catalyze the development of the hydrogen industry at scale, by investing in hydrogen leaders and entrepreneurs. In the long-term, InterContinental Energy represents this vision and has the most advanced execution plans for large, competitive renewable power basins. InterContinental Energy, with its existing team, its partnerships with world class energy players and investors, is set to become a premier player in the new energy system in the making.” ",ENERGY TRANSITION/ PRIVATE EQUITY,ESGTODAY
"September 27, 2023",La Banque Postale Launches €1 Billion Energy Transition Infrastructure Fund,"La Banque Postale and its subsidiaries, LBP AM and CNP Assurances, announced today the launch of a €1 billion impact infrastructure debt fund, aimed at financing energy transition-focused projects in Europe.
According to La Banque Postale, the new impact debt fund, classified as Article 8 under the SFDR regulation, will provide long-term support for projects that make a substantial contribution to mitigating climate change or are committed to decarbonizing their operations. It will be deployed over a three-year period.
Key focus areas for the fund will include renewable energy, circular economy, clean transport and energy efficiency, as well as innovatve sectors such as e-mobility, green hydrogen and energy storage.
Bertrand Cousin, Head of Corporate and Investment Banking at La Banque Postale, said:
“This initiative is part of our strategy to promote impact finance and is in line with the commitments made by La Banque Postale with regard to the objectives of a mission-led company. I am thrilled with this project, which is a further illustration of the synergies being developed within the major public financial centre.”
Olivier Guigné, Group Chief  Investment Officer at CNP Assurances, added:
“This fund demonstrates a perfect alignment around our shared values and our  commitment to an inclusive and sustainable society. As a responsible investor, this  initiative contributes to CNP Assurances’ objective of reaching €30bn in green  investments by the end of 2025 and more than €1bn in impact investments by the end  of 2025. With this investment, our total impact financing commitments now exceed  €1.5bn. Infrastructure debt is an attractive asset class because of its return potential  and the diversification it provides in the portfolio. This helps to meet our long-term  commitments to our policyholders.”",INVESTORS/ NEW FUNDS & PRODUCTS/ SUSTAINABLE FINANCE,ESGTODAY
"September 27, 2023",Just Climate Launches Natural Climate Solutions Investment Strategy,"Climate solutions-focused investment business Just Climate announced announced the launch of its new Natural Climate Solutions (NCS) strategy, aimed at directing capital at scale globally to businesses focused on natural climate solutions, generating the highest climate impact as well as attractive financial returns.
Founded in October 2021 by Generation Investment Management, a sustainability-focused investment firm chaired by former U.S. Vice President Al Gore, Just Climate aims to deliver impact by focusing on investments in projects and companies in hard to abate sectors and geographies, while simultaneously delivering appropriate risk-adjusted returns. The fund targets catalytic climate solutions in sectors including energy, transport, industry, and buildings and natural climate solutions for food, agriculture, and oceans.
While it originally also was focused on natural climate solutions for food, agriculture, and oceans, it did not have a dedicated strategy in that arena until now.
The launch of the new strategy follows Just Climate’s recent announcement that it has raised $1.5 billion for its inaugural fund, Climate Assets Fund I, closing the fund significantly ahead of its initial $1 billion target.
According to the Intergovernmental Panel on Climate Change, agriculture, forestry and other land use accounts for 23% of global greenhouse gas (GHG) emissions. Natural climate solutions are projected to deliver close to 7 gigatons of CO2 abatement per year. That’s about a third of  the 2030 net emissions reduction targets required by the Paris Agreement.
Just Climate’s new NCS strategy will target businesses focused on natural climate solutions such as protecting, managing and restoring forests, wetlands and agricultural areas and avoiding emissions from agriculture, forestry and other land use. The fund will combine climate-related benefits of nature from physical commodity production to carbon storage, while contributing to biodiversity, pollination, nutrient cycling, and the quality and quantity of water provision.
The new fund will be headed by Eduardo Mufarej, Founder of Good Karma Partners, who has more than 25 years of experience as an investor, executive and entrepreneur, including in private equity and climate solutions.
Mufarej, who will serve as Co-Chief Investment Officer and Head of Natural Climate Solutions at Just Climate, said:
“Scaling natural climate solutions will involve building and growing businesses around the world that can advance sustainable agriculture, ecosystem restoration and durable carbon removal. The Global South has a key role to play, where both the growth opportunity and potential for impact are greatest. I am delighted to join Just Climate’s global leadership as we look to scale the platform.”
In addition to the launch of the new strategy, Just Climate announced that it has opened an office in Brazil. According to the firm, Having an office in Brazil, the company said, will enhance its capabilities and experience in key regions, such as Latin America, where many of the highest growth opportunities in natural climate solutions exist.
Clara Barby CBE, Senior Partner of Just Climate, said:
“We believe natural climate solutions are at a tipping point, and that an emerging ‘restoration industry’ can mirror the success of the renewable energy industry. “",INVESTORS/ NEW FUNDS & PRODUCTS/ PRIVATE EQUITY,ESGTODAY
"September 27, 2023",LEGO Group Appoints Annette Stube as Chief Sustainability Officer,"The LEGO Group announced today the appointment of Annette Stube, currently serving as Head of Sustainability at Stora Enso, as its Chief Sustainability Officer. She will assume her new role at LEGO Group on January 1, 2024, reporting to CEO Niels B Christiansen.
In a separate announcement today, LEGO Group confirmed recent media reports that it has dropped its plans to produce bricks from rPET plastics from recycled bottles, one of its key projects aimed at shifting away from fossil-based plastics and reducing its carbon footprint.
In her new role, Stube will have responsibility for leading LEGO Group’s environmental sustainability vision and strategy, working with teams across the company to deliver on its sustainability plans and targets, in addition to supporting the company’s external environmental communications and engagement activity.
The appointment follows a series of commitments announced by LEGO Group last month, including a pledge to achieve net zero emissions by 2050, work with the Science Based Targets initiative (SBTi) to develop emissions reduction targets covering Scope 1 and 2 emissions, as well as Scope 3 supply chain emissions, which account for 98% of the company’s carbon footprint, and to invest over $1.4 billion in environmental sustainability initiatives over the next three years.
Christiansen said:
“We are excited to have Annette join us to further advance our sustainability ambitions. Delivering on our Planet Promise is one of our most urgent and important challenges. While we have made significant progress over the past few years to reduce the impact our business has on the planet, we have much more to do.”
Stube joined pulp, paper and forest products company Stora Enso in 2020, and has been serving as Executive Vice President and Head of Sustainability. Prior to joining Stora Enso, Stube spent over 11 years at integrated container logistics company A.P. Moller-Maersk, serving as the company’s Head of Sustainability. She also worked as Director of Sustainability programs for global healthcare company Novo Nordisk.
Stube said:
“I am excited to join the LEGO Group and be part of the team helping to create a better environment for the benefit of future generations. There are very few companies who have children as their primary customers, which reminds us that the need for change is very real and urgent. It is encouraging to see the LEGO Group prioritise investments and resources against accelerating its sustainability ambitions and I am looking forward to playing my part to deliver those.”
One of LEGO Group’s sustainability strategy’s key focus areas includes initiatives to invest in sustainable materials research to reduce the carbon footprint of products and packaging. The company unveiled its first prototype bricks made from recycled plastic bottles in 2021, and stated that it would continue testing and developing the PET formulation of the new prototype brick, and then assess whether to move to the pilot production phase. The company announced today, however, that it has decided not to progress with the rPET bricks following two years of testing, after determining that it would not ultimately result in reduced carbon emissions.
In a statement announcing the decision, LEGO Group said:
“This is the nature of innovation – especially when it comes to something as complex and ambitious as our sustainable materials programme. Some things will work, others won’t.”
The company said that it is “more committed than ever to making our products and business more sustainable,” with a target to make its products from more sustainable and circular materials by 2032, adding that it has now tested more than 300 different materials. In a social media post, LEGO Group Vice President of Sustainability Tim Brooks noted that the company will triple its spending on sustainable materials to $400 million per year to 2025.
LEGO Group added:
“It’s a challenge we all share, and it’s something we know kids care about. We receive hundreds of letters from children each year with ideas of how we can be more sustainable. We want them to know we’re listening and trying hard.”",COMPANIES/ ENVIRONMENT/ EXECUTIVE MOVES,ESGTODAY
"September 27, 2023",EU Bans Microplastics in Consumer Products,"The European Commission announced the adoption of a series of measures aimed at fighting microplastics pollution, including banning the sale of a broad series of products to which microplastics have been added, including cosmetics, detergents and toys.
Microplastics are often added to many products due to their applicability as filler, providers of texture, or as emulsifying agents, although they often are released into the environment and remain there for centuries, ending up in marine, freshwater and terrestrial environments, polluting ecosystems and food chains, and leading to negative health effects for humans and animals.
Virginijus Sinkevičius, Commissioner for Environment, Oceans and Fisheries, said:
“Banning intentionally added microplastics addresses a serious concern for the environment and people’s health. Microplastics are found in the seas, rivers and on land, as well as in food and drinking water. Today’s restriction concerns very small particles, but it is a big step towards reducing human-made pollution.”
Under the new rules, the sale of microplastics – covering all synthetic polymer particles below five millimeters that are organic, insoluble and resist degradation – and of products to which microplastics have been added on purpose will be prohibited, with products in the scope of the new restriction including granular infill material used on artificial sport surfaces, which is the largest source of intentional microplastics in the environment, and cosmetics, which use microplastics for purposes including exfoliation, texture, fragrance and color, as well as detergents, fabric softeners, glitter, fertilizers, plant protection products, toys, medicines and medical devices, among others.
Several products are not affected by the ban, such as construction materials that contain microplastics but do not release them, and products used at industrial sites, among others. While these products may continue to be sold, the new measures will require manufacturers to report their estimated microplastics emissions annually, and to provide instructions on the prevention of microplastics emissions in product usage and disposal.
While the rules will apply 20 days following the Commission’s adoption of the new measures for some products such as cosmetics containing microbeads, the ban will take effect for most products after a transition period, such as 4-12 years for other cosmetics, and 8 years for sport pitches.
The European Chemicals Agency (ECHA) estimated that the cost of the new measures for stakeholders including, industry, sports clubs, and municipalities to be up to €19 billion over the next 20 years, with the new rules expected to prevent the release to the environment of about half a million tonnes of microplastics.
Thierry Breton, Commissioner for Internal Market, said:
“This restriction contributes to the green transition of the EU industry and promotes innovative, microplastic-free products – from cosmetics to detergents to sport surfaces. EU citizens will gain access to safer and more sustainable products and the EU industry – especially SMEs – which invested in and developed such innovative products will be more competitive and resilient.”",ENVIRONMENT/ GOVERNMENT,ESGTODAY
"September 26, 2023",LyondellBasell Launches Line of Low Carbon Materials to Help Businesses Meet Emissions Reduction Goals,"Chemical company LyondellBasell today announced the launch of its +LC (Low Carbon) solutions, a new range of chemicals produced using recycled and renewable feedstock that manufacturers can use to make their products more sustainable and help them meet emissions goals.
LyondellBasell is among the world’s largest producers of polymers including propylene oxide and its derivatives including propylene glycol, propylene glycol ethers and butanediol. Traditional products from fossil fuel based chemical manufacture include plastic, nylon and polyester. LyondellBasell chemical products are used in multiple sectors from insulation materials to automotive and consumer goods.
The company’s +LC solutions are sourced from recycled and renewable feedstocks and designed under an International Sustainability and Carbon Certification (ISCC) PLUS certified mass balance methodology. This methodology enables manufacturers, whose products blend conventional raw materials with the renewable and recycled feedstock, to claim the benefits of the more sustainable feedstock in their final product. Every product within the +LC range comes with an ISCC+ mass balance certificate so it can be traced throughout the value chain. Moreover, Product Carbon Footprint (PCF) data are available for these products, enabling businesses to directly compare the carbon footprints of +LC solutions with traditional fossil-based counterparts.
Kimberly Foley, executive vice president, Intermediate & Derivatives and Refining said:
“Sustainability is woven into the fabric of our business strategy. The +LC solutions mark a critical step for our customers as they increasingly shift towards more ambitious GHG emissions reduction targets and product circularity. These low-carbon solutions will use renewable, bio-based and recycled feedstocks that empower our customers to reduce their Scope 3 GHG emissions. We have applied our long history of innovation, customer-centric approach, and focus on sustainability to engineer a product range that aligns both with our company’s and our customers’ sustainability ambitions.”
The +LC solutions are currently available in Europe and the Americas, and plans for expansion into Asia are set for early 2024.",COMPANIES/ ENVIRONMENT,ESGTODAY
"September 26, 2023",EcoVadis Launches Product Carbon Emissions Tracking Solution,"Business sustainability ratings provider EcoVadis announced today the launch of the the EcoVadis Product Carbon Footprint (PCF) Data Exchange, a new feature in its Carbon Action Module solution, aimed at enabling companies to more precisely track product-level greenhouse gas emissions.
According to EcoVadis, the new feature aims to address one of the key barriers to companies’ carbon reduction strategies, enabling emissions reporting for products and services purchased across the supply chain, with suppliers often reporting their overall carbon footprint, but buyers lacking the precise data to determine the portion of those emissions attributable to their purchases.
The new solution uses the Partnership for Carbon Transparency’s (PACT) standards-based Pathfinder Framework, and allows product carbon footprint tracking across EcoVadis’ network of suppliers, which include 40,000 that are engaged in carbon action, according to the company.
According to EcoVadis, using the solution, organizations can request and collect product carbon footprint data from suppliers and work collaboratively to identify emissions reduction opportunities, help suppliers build PCF capabilities with a dedicated course from EcoVadis, and compare PCF data across the supplier network based on global standards.
Julia Salant, General Manager, Carbon Solution at EcoVadis, said:
“Product carbon footprint data is the holy grail of carbon reporting. It’s the next step for organizations to accelerate their carbon maturity journey through precise measurement and management of emissions, helping organizations make a positive impact on the planet.”","ESG REPORTING/ ESG TOOLS, SERVICES",ESGTODAY
"September 26, 2023",France Announces Plan to Cut Emissions 55% by 2030,"French President Emmanuel Macron unveiled the country’s “ecological plan” to cut greenhouse gas (GHG) emissions by 55% by 2030, compared to 1990 levels, in line with the EU’s interim climate goals.
According to the President’s presentation of the plan, reaching the 2030 goal will require a major acceleration in the country’s GHG emissions reduction progress, ramping to 5% per year through 2030, from around 2% annually over the past 5 years.
In order to kick-start progress, the strategy includes a plan to significantly ramp climate-focused investments to €10 billion next year, compared with €3 billion in 2023. Key areas of investment detailed under the plan include boosting building energy efficiency, developing energy technologies including hydrogen and renewable natural gas, and natural resources, farming, agriculture and forestry.
The plan also aims to boost clean mobility and renewable energy including developing offshore wind farms, producing 1 million electric vehicles by 2027 as well as opening 4 battery plants in Northern France, and investing €700 million in commuter train projects around big cities.
One of the plan’s key focus areas is on cutting reliance on fossil fuels. Macron announced that the country’s last coal-fired electricity generation plants will be closed by 2027 and converted to biomass energy plants.
According to Macron, the strategy will focus on incentivizing cleaner technologies rather than outright bans, with plans to introduce incentives to switch to electric vehicles and to install heat pumps.
Macron also said that he has received pledges from 50 of France’s top industrial polluters to cut carbon emissions by 45% by 2030.",ENERGY TRANSITION/ ENVIRONMENT/ GOVERNMENT,ESGTODAY
"September 26, 2023",CBRE Signs Deal to Collect Emissions Data from Supply Chain,"CBRE Group, one of the world’s largest commercial real estate services and investment firms, has announced a strategic partnership with carbon accounting software provider Emitwise, aimed at enabling CBRE to collect greenhouse gas emissions data from its supply chain, and to provide its suppliers with carbon accounting capabilities.
CBRE said that it will also make a strategic investment in Emitwise as part of the partnership.
The real estate industry is one of the world’s largest emitters of greenhouse gases, accounting for nearly 40% of global emissions. Most of those emissions, 70%, come from building operations with the other 30% coming from construction. Studies show that high emitting properties are seen as an investment risk and therefore have lower value.
The partnership will allow CBRE, its suppliers, and its clients’ suppliers to identify its greatest carbon impacts and take action to accelerate decarbonization, according to the company.
Robert Bernard, CBRE Chief Sustainability Officer said:
“Decarbonizing supply chains requires breakthroughs in using technology and data in new ways to simplify the challenges of managing complex value chains. We are excited to partner with Emitwise to help our clients reduce their carbon impact and support our efforts to decarbonize our own supply chain.”
In particular, Emitwise will advance the company’s net zero strategy by helping to track and reduce Scope 3 emissions.
Mauro Cozzi, Co-founder and CEO of Emitwise, said:
“Emitwise equips companies with the data they need to make critical procurement decisions that de-risk their supply chain in a world transitioning to net zero. We are thrilled to partner with CBRE on their efforts to reduce emissions across their supply chain.”","COMPANIES/ ESG TOOLS, SERVICES",ESGTODAY
"September 26, 2023",SEC Fines Deutsche Bank Subsidiary DWS $19 Million Following Greenwashing Investigation,"The U.S. Securities and Exchange Commission (SEC) announced on Monday that it has charged Deutsche Bank’s investment arm DWS, one of the largest asset managers in Europe, over misleading statements the firm made regarding its ESG investment process.
DWS has agreed to a $19 million fine to settle the charges, marking the largest-ever greenwashing penalty imposed on an asset manager by the SEC.      
The SEC announcement follows a 2-year investigation by the Commission, which was initiated after DWS’ former sustainability chief Desiree Fixler reportedly alleged that the firm misrepresented in its annual report the extent to which assets were invested using ESG integration in the investment process. Fixler was fired from DWS in March 2021 immediately prior to the release of the firm’s annual report.
In June 2022, German authorities raided the Frankfurt offices of Deutsche Bank and DWS following media reports that DWS overstated the green or sustainability-related aspects of financial products, and following examination of evidence leading to suspicion of “prospectus fraud.” DWS CEO Asoka Woehrmann resigned the following day.
According to a statement released by the SEC, the Commission found that DWS “made materially misleading statements about its controls for incorporating ESG factors into research and investment recommendations for ESG integrated products,” and that the firm failed to integrate aspects of its global ESG integration policy as marketed to clients. The SEC added that DWS failed to implement policies that would have ensured that its public statements about its ESG integrated products were accurate.
The announcement comes as the SEC is considering a series of proposed disclosure rules for funds and advisers that claim to integrate ESG factors into their investment products and services, aimed at providing clearer and more consistent information for investors, and to address the risk of greenwashing through the exaggeration or misrepresentation of ESG claims. Last week, the Commission adopted new rules that require funds with names that suggest an investment focus on ESG or sustainability-related factors to invest at least 80% of the value of assets in accordance with those factors.
Sanjay Wadhwa, Deputy Director of the SEC’s Division of Enforcement and head of its Climate and ESG Task Force, said:
“Whether advertising how they incorporate ESG factors into investment recommendations or making any other representation that is material to investors, investment advisers must ensure that their actions conform to their words. Here, DWS advertised that ESG was in its “DNA,” but, as the SEC’s order finds, its investment professionals failed to follow the ESG investment processes that it marketed.”
In a statement following the SEC announcement, DWS noted that the examination found “no misstatements in relation to our financial disclosures or in the prospectuses of our funds,” and that there was no intent by the firm to defraud, adding that the firm has already taken steps to address the weaknesses identified by the SEC.
DWS added:
“We have learned many lessons from the ever-evolving regulatory environment and are fully committed to continuing to improve. We are grateful to our clients for their continued trust in our products.”",INVESTORS/ REGULATORS,ESGTODAY
"September 22, 2023",DHL Invests $85 Million in Biomethane Production to Power Trucks,"DHL Group’s contract logistics division DHL Supply Chain announced an €80 million (USD$85 million) investment into a dedicated biomethane production facility in Cork, Ireland, run by biogas developer Stream BioEnergy.
DHL said that it will begin operating biomethane-fueled trucks, and has committed to a 10-year deal with Stream BioEnergy, with the new facility providing fuel for up to 150 trucks. The company said that the agreement will result in an annual carbon reduction of 15,000 tonnes.
Biomethane, or renewable natural gas (RNG), is expected to play a critical role in the transition to cleaner energy sources, particularly for sectors in which energy solutions such as wind or solar are less practical, such as transport. Biomethane is produced from organic waste, such as agricultural, industrial, and household wastes, and is chemically identical to fossil-based natural gas, enabling it to support the decarbonization of hard-to-abate sectors such as road transport and heavy industry, without needing to replace existing transmission and distribution infrastructure.
Established in 2009, Stream BioEnergy develops and operates industrial-scale biogas projects in Ireland, utilizing anaerobic digestion technology to convert organic materials into renewable energy  and biofertilizer. The company’s Cork-based biomethane production site will process 90,000 tonnes of industry and consumer food waste annually, which would have otherwise been sent to landfill.
DHL said that the deployment of biomethane trucks, and the investment in biomethane production will support its efforts to achieve its 2050 net zero target. DHL launched its Sustainability Roadmap in 2021, which included plans to invest €7 billion over ten years in measures to reduce its CO2 emissions, with a focus on the expansion of a zero-emissions fleet, alternative aviation fuels, and climate-neutral buildings.
In addition to the investment, DHL a collaboration with Tesco, which will see DHL operating 92 biomethane trucks across Tesco Ireland’s network, once the new biomethane facility is fully functioning.
Managing Director of DHL Supply Chain, Ireland, Ciaran Foley said:
“We are extremely proud to be enhancing renewable energy production here in Ireland and our collaboration with Tesco marks a significant step in our shared journey towards achieving net-zero emissions. Our customers’ transport networks are a vital focus area when looking at how they can achieve their overall sustainability goals so by making alternative fuels a reality we can really prove our value as a strategic partner.”
Tesco Ireland’s Retail and Distribution Director Ian Logan added:
“We have one of the most sophisticated distribution networks in the country, and improving its efficiency and environmental impact will play an important role in our journey to net zero. Our current HGV transport fleet makes over 2,000 trips weekly, serving our growing network of 166 stores nationwide, so moving to a cleaner fuel in our value chain will play a vital role in achieving this.”",COMPANIES/ ENERGY TRANSITION,ESGTODAY
"September 22, 2023",KPMG Launches ESG Academy to Train Businesses on Key Sustainability Topics,"Global professional services firm KPMG announced today the launch of the KPMG ESG Academy, aimed at delivering learning to businesses on a wide range of ESG topics and disciplines and support their sustainability initiatives.
Courses featured in the digital academy include content and lectures developed by ESG specialists from leading universities in collaboration with KPMG sustainability subject matter professionals, across ESG areas ranging from corporate sustainability transformations and ESG regulation to climate risk and business decarbonization strategies.
John McCalla-Leacy, KPMG International’s Global Head of ESG, said:
“In my conversations with business leaders, I routinely hear that complexity, a lack of understanding and the challenge of actually accessing information and insights is what’s holding them back on their ESG journey. The launch of the KPMG ESG Academy is about bringing that much needed information together in one place – to empower decision makers to deliver positive change.”           
According to KPMG, the academy provides fully customizable and scalable course content that can be delivered as a standalone virtual learning tool or integrated into clients’ in-house learning platforms, targeting executive-level, mid-management as well as non-management learners, and offering basic-level, comprehensive and advanced training across a broad range of ESG topics.
The ESG academy is being launched in collaboration with Microsoft, leveraging KPMG’s training platform, LEAP (KPMG Learning Enablement and Analytics Platform), powered by Microsoft Cloud solutions including Microsoft 365, Azure, Teams and Microsoft Viva Learning.
Shelly Blackburn, VP Cross Solutions at Microsoft, said:
“Since 2015, nearly 6,000 companies have announced science-based sustainability targets, representing a third of global market capitalization. Skilling is a vital prerequisite for driving progress. To meet their commitments, these companies need to gain insights, take action, and ultimately transform their businesses. We’re proud to collaborate with KPMG on closing the skilling gap.”
KPMG added that the ESG academy builds on its global alliance with Microsoft, as well as on its investment to accelerate global digital solutions for ESG issues. KPMG and Microsoft launched a multi-year collaboration in 2019, as part of the professional services firm’s $5 billion digital strategy to modernize its workplace using cloud-based tools and expand its digital offerings for clients. In 2021, KPMG launched a multi-year program aimed at accelerating global solutions for ESG issues, and to support clients in their own sustainability efforts, including plans to invest over $1.5 billion in its initiatives to further embed ESG in the organization and client solutions.
McCalla-Leacy said:
“In a time of deep uncertainty, business leaders are seeking information and insight to inform their decision making and futureproofing. The combination of economic, geopolitical and climate crises is making planning for growth more challenging than ever before. KPMG and Microsoft’s shared commitment to innovation and sustainability is what’s driving us to deliver new products and initiatives.”","ESG TOOLS, SERVICES",ESGTODAY
"September 21, 2023",Microsoft Signs Deal to Buy Biochar Carbon Removal Credits,"Carbon credit streaming company Carbon Streaming announced an agreement with Microsoft, providing the tech giant with up to 10,000 tonnes of carbon dioxide removal credits per year from the Waverly Biochar project in Waverly, Virginia.
Biochar, or biological charcoal, is produced by heating biomass, such as forest residue, wood or crop waste, in the absence of oxygen, creating a stable form of carbon, which when buried in soil enables centuries-long carbon sequestration, in addition to leading to improved soil fertility.
The Waverly Biochar project, under development by Restoration Bioproducts LLC, involves the construction of a biochar production facility, and is expected to remove over 262,000 tCO2e of emissions over its 25-year project life. Carbon Streaming has a royalty on the biochar that is expected to be produced and sold by the project.
Oliver Forster, Vice President of Sales at Carbon Streaming, said:
“We are delighted to be working with Microsoft to provide them with high quality and scalable carbon dioxide removals to support their carbon negative commitment. We’re particularly excited about the capacity for biochar to scale this decade with support from visionary organizations such as Microsoft.”
The agreement marks a further expansion of Microsoft’s portfolio of carbon removal deals, forming part of the company’s initiative to become carbon negative by 2030, and to remove all of its historical emissions by 2050. The company signed one of the largest-ever Direct Air Capture (DAC) carbon removal agreements earlier this month with DAC technology company Heirloom, and has recently announced DAC-based agreements with climate tech company CarbonCapture and with startup Climeworks, an agreement for ocean-based carbon dioxide removal with ocean health company Running Tide, and an agreement for the purchase of 2.76 million tonnes of carbon removal with Danish energy provider Ørsted to capture and store biogenic carbon from a wood chip-fired power station in Denmark.
In its recently-published Carbon Removal briefing paper, Microsoft described Biochar as “the mainstay of our medium-durability portfolio and plans” for carbon removal, “that bridges the durability and cost gap” between shorter-duration solutions such as afforestation, and longer-duration but higher cost solutions such as DAC.
Most solutions that capture and store CO2 are early stage and currently limited in scale, including biochar, with corporate commitments to offtake carbon removal credits from the projects helping to send a demand signal to suppliers to enable the solution to scale up. Carbon Streaming uses streaming transactions to provide project capital to project developers and enables companies to commit to purchase credits generated from the projects instead of providing upfront capital.
Brian Marrs, Senior Director, Energy and Carbon at Microsoft, said:
“We’re pleased to work with Carbon Streaming to support the development of biochar as a carbon removal approach through the Waverly Biochar project. Carbon Streaming’s capacity to provide project-level finance is an important part of scaling this industry and it ensures we can focus on procuring carbon removal from high quality projects.”",COMPANIES/ ENVIRONMENT,ESGTODAY
"September 21, 2023",Emissions Tracking and Reporting Software Startup Plan A Raises $27 Million,"European carbon measurement, reporting and reduction software provider Plan A announced that it has raised $27 million, with proceeds from the financing aimed at growing its team and expanding its platform’s capabilities.
Founded in 2017, Plan A provides corporate carbon accounting, decarbonization, and ESG reporting software. The company’s Sustainability Platform automatically maps data across Scopes 1, 2, and 3 emissions, merging them with national emission factors and datasets, enabling users to set and achieve science-based targets, and to self-manage the net zero process from data collection and decarbonization planning to non-financial reporting. The platform’s solutions are aligned with internationally recognized scientific methodologies and standards such as the Greenhouse Gas Protocol and the Science Based Targets initiative (SBTi), and the accuracy of the applied Corporate Carbon Footprint (CCF) calculation methodology is certified by TÜV Rheinland.
Plan A has grown its customer base to more than 1,500 clients, and increased revenues more than 600% year over year in 2022.
The company said that it will use the funds to double its headcount to 240 employees in order to expand in Europe, especially France, the UK, and Scandinavia. It also intends to advance its platform’s Scope 3 coverage and actionability and policy alignment capabilities.
Lubomila Jordanova, CEO of Plan A, said:
“Climate change and the associated impacts pose an existential risk to businesses. We are over the moon to bring these stellar investors onboard the Plan A journey today to back us in navigating the complexity of corporate decarbonisation and address climate change on a global scale.”
The funding round was led by Lightspeed Venture Partners and included Visa—with whom Plan A signed an exclusive global partnership – Deutsche Bank, Opera Tech Ventures (VC arm of BNP Paribas), and existing investors such as HV Capital, Keen Venture Partners, Demeter IM, and coparion.
Julie Kainz, Partner at Lightspeed Venture Partners, said:
“We’ve been closely following the journey of Lubomila and the entire Plan A team over the past years and it has become incredibly clear to us that they have positioned themselves as a leader in this space. The strength and flexibility of their platform truly has the capabilities to drive change and impact within organisations from across any sector and on a global scale, and to guide organisations both small and large on a holistic decarbonisation journey.”","ESG REPORTING/ ESG TOOLS, SERVICES/ PRIVATE EQUITY",ESGTODAY
